canonical_key,term_de,article,pos,translations_ja,translations_en,prateritum,partizip_ii,plural,notes,levels,sources,categories
ankommen,ankommen,,verb,到着する,to arrive,kam an,ist angekommen,,separable,A1,german_vocab_master.xlsx,verb | A1
ankommen auf (+akk.),ankommen auf (+Akk.),,verb,〜次第である,to depend on / matter,kam an,angekommen,,,B1,german_vocab_master.xlsx,verb | B1
ankunft,die Ankunft,die,noun,到着,arrival,,,die Ankünfte,,A2,german_vocab_master.xlsx,Verkehr | noun | A2
anlage,die Anlage,die,noun,施設／設備／添付,facility / attachment / investment,,,die Anlagen,,B1,german_vocab_master.xlsx,noun | B1
anlass,der Anlass,der,noun,きっかけ,occasion,,,die Anlässe,,C1,german_vocab_master.xlsx,noun | C1
anlächeln,anlächeln,,verb,〜に微笑みかける,to smile at,lächelte an,angelächelt,,,B1,german_vocab_master.xlsx,verb | B1
annahme,die Annahme,die,noun,仮定,assumption,,,die Annahmen,,B2,german_vocab_master.xlsx,noun | B2
annehmen,annehmen,,verb,受け入れる／仮定する,to accept / assume,nahm an,angenommen,,,B1,german_vocab_master.xlsx,verb | B1
anonym,anonym,,adj,匿名の,anonymous,,,,,B2,german_vocab_master.xlsx,adj | B2
anpassen,anpassen,,verb,適応させる,to adapt,passte an,hat angepasst,,,C1,german_vocab_master.xlsx,verb | C1
anpassen an (+akk.),anpassen an (+Akk.),,verb,〜に合わせる,to adapt to / adjust to,passte an,angepasst,,,B1,german_vocab_master.xlsx,verb | B1
anpassung,die Anpassung,die,noun,適応,adaptation,,,die Anpassungen,,C1,german_vocab_master.xlsx,noun | C1
anregen zu (+dat.),anregen zu (+Dat.),,verb,〜を促す,to encourage / stimulate,regte an,angeregt,,,B1,german_vocab_master.xlsx,verb | B1
anrufen,anrufen,,verb,電話する,to call (phone),rief an,hat angerufen,,separable,A1,german_vocab_master.xlsx,verb | A1
anschauung,die Anschauung,die,noun,見解,view,,,die Anschauungen,,C1,german_vocab_master.xlsx,noun | C1
anscheinend,anscheinend,,adv,どうやら,apparently / seemingly,,,,,B1,german_vocab_master.xlsx,adv | B1
anschluss,der Anschluss,der,noun,接続／乗り継ぎ,connection / connecting train,,,die Anschlüsse,,B1,german_vocab_master.xlsx,Verkehr | noun | B1
anschlusszug,der Anschlusszug,der,noun,乗り継ぎ列車,connecting train,,,die Anschlusszüge,,B1,german_vocab_master.xlsx,Verkehr | noun | B1
anspruchsvoll,anspruchsvoll,,adj,要求の高い,demanding,,,,,B2,german_vocab_master.xlsx,adj | B2
anstatt,anstatt,,prep,～の代わりに,instead of,,,,+Gen,A2,german_vocab_master.xlsx,prep | A2
anstellen,anstellen,,verb,雇う／行う,to hire / do / get up to,stellte an,angestellt,,,B1,german_vocab_master.xlsx,Arbeit | verb | B1
anstrengend,anstrengend,,adj,疲れる,exhausting / strenuous,,,,,B1,german_vocab_master.xlsx,adj | B1
anstrengung,die Anstrengung,die,noun,努力,effort,,,die Anstrengungen,,C1,german_vocab_master.xlsx,noun | C1
antrag,der Antrag,der,noun,申請,application,,,die Anträge,,B2,german_vocab_master.xlsx,Arbeit | Politik | noun | B2
antreiben,antreiben,,verb,駆り立てる,to drive,trieb an,hat angetrieben,,irregular,C1,german_vocab_master.xlsx,verb | C1
antrieb,der Antrieb,der,noun,原動力,"drive, motivation",,,die Antriebe,,C1,german_vocab_master.xlsx,noun | C1
antwort,die Antwort,die,noun,答え,answer,,,die Antworten,,A1,german_vocab_master.xlsx,noun | A1
antworten,antworten,,verb,答える,to answer,antwortete,hat geantwortet,,,A1,german_vocab_master.xlsx,verb | A1
anwalt,der Anwalt,der,noun,弁護士,lawyer (m),,,die Anwälte,,A2,german_vocab_master.xlsx,Arbeit | noun | A2
anwenden,anwenden,,verb,応用する,to apply / use,wandte an,angewandt,,,B1,german_vocab_master.xlsx,verb | B1
anwältin,die Anwältin,die,noun,弁護士（女）,lawyer (f),,,die Anwältinnen,,A2,german_vocab_master.xlsx,noun | A2
anzeige,die Anzeige,die,noun,広告／届け出,"ad, notification",,,die Anzeigen,,B2,german_vocab_master.xlsx,Medien | noun | B2
anziehen,anziehen,,verb,着る,to put on,zog an,hat angezogen,,separable,A1,german_vocab_master.xlsx,Kleidung | verb | A1
anzug,der Anzug,der,noun,スーツ,suit,,,die Anzüge,,B1,german_vocab_master.xlsx,Kleidung | noun | B1
anzweifeln,anzweifeln,,verb,疑う,to call into question,zweifelte an,hat angezweifelt,,,C1,german_vocab_master.xlsx,verb | C1
apfel,der Apfel,der,noun,りんご,apple,,,die Äpfel,,A1,german_vocab_master.xlsx,Essen | noun | A1
apotheke,die Apotheke,die,noun,薬局,pharmacy,,,die Apotheken,,A1,german_vocab_master.xlsx,Gesundheit | noun | A1
app,die App,die,noun,アプリ,app,,,die Apps,,A2,german_vocab_master.xlsx,noun | A2
april,der April,der,noun,4月,April,,,,,A1,german_vocab_master.xlsx,Zeit | noun | A1
arbeit,die Arbeit,die,noun,仕事,"work, job",,,die Arbeiten,,A1,german_vocab_master.xlsx,Arbeit | noun | A1
arbeiten,arbeiten,,verb,働く,to work,arbeitete,hat gearbeitet,,,A1,german_vocab_master.xlsx,Arbeit | verb | A1
arbeitgeber,der Arbeitgeber,der,noun,雇用主,employer,,,die Arbeitgeber,,A2,german_vocab_master.xlsx,noun | A2
arbeitnehmer,der Arbeitnehmer,der,noun,従業員,employee,,,die Arbeitnehmer,,A2,german_vocab_master.xlsx,Arbeit | noun | A2
arbeitserlaubnis,die Arbeitserlaubnis,die,noun,労働許可証,work permit,,,die Arbeitserlaubnisse,,B1,german_vocab_master.xlsx,Arbeit | noun | B1
arbeitslos,arbeitslos,,adj,失業中の,unemployed,,,,,A2,german_vocab_master.xlsx,Arbeit | adj | A2
arbeitslosigkeit,die Arbeitslosigkeit,die,noun,失業,unemployment,,,,,A2,german_vocab_master.xlsx,noun | A2
arbeitsstelle,die Arbeitsstelle,die,noun,勤務先,workplace,,,die Arbeitsstellen,,A2,german_vocab_master.xlsx,noun | A2
architekt,der Architekt,der,noun,建築家,architect,,,die Architekten,,A2,german_vocab_master.xlsx,Arbeit | Wohnen | noun | A2
architektin,die Architektin,die,noun,建築家（女）,architect (f),,,die Architektinnen,,A2,german_vocab_master.xlsx,Wohnen | noun | A2
argument,das Argument,das,noun,論拠,argument,,,die Argumente,,B2,german_vocab_master.xlsx,Medien | noun | B2
argumentieren,argumentieren,,verb,論じる,to argue,argumentierte,hat argumentiert,,,B2,german_vocab_master.xlsx,Medien | verb | B2
arm,arm,der,adj,貧しい | 腕,poor / needy / unfortunate | arm,,,die Arme,,B1 | A1,german_vocab_master.xlsx,adj | B1 | noun | A1
armut,die Armut,die,noun,貧困,poverty,,,,,C1,german_vocab_master.xlsx,Gesellschaft | noun | C1
artikel,der Artikel,der,noun,記事／冠詞,article,,,die Artikel,,B2,german_vocab_master.xlsx,Medien | noun | B2
arzt,der Arzt,der,noun,医者（男）,doctor (m),,,die Ärzte,,A1,german_vocab_master.xlsx,Gesundheit | noun | A1
aspekt,der Aspekt,der,noun,観点,aspect,,,die Aspekte,,B2,german_vocab_master.xlsx,noun | B2
asyl,das Asyl,das,noun,庇護,asylum,,,die Asyle,,C1,german_vocab_master.xlsx,Gesellschaft | noun | C1
asylant,der Asylant,der,noun,亡命者,asylum seeker,,,die Asylanten,n-decl,C1,german_vocab_master.xlsx,Gesellschaft | noun | C1
atomkraft,die Atomkraft,die,noun,原子力,nuclear power,,,,,B2,german_vocab_master.xlsx,Umwelt | noun | B2
auch,auch,,adv,も,also,,,,,A1,german_vocab_master.xlsx,adv | A1
auf,auf,,prep,〜の上に,on,,,,+ Akk./Dat.,A1,german_vocab_master.xlsx,prep | A1
auf wiedersehen,Auf Wiedersehen,,phrase,さようなら,goodbye,,,,formal farewell,A1,german_vocab_master.xlsx,phrase | A1
aufbauen,aufbauen,,verb,築く,to build up / establish,baute auf,aufgebaut,,,B1,german_vocab_master.xlsx,verb | B1
aufdecken,aufdecken,,verb,暴く,to uncover,deckte auf,hat aufgedeckt,,,C1,german_vocab_master.xlsx,verb | C1
auffassung,die Auffassung,die,noun,捉え方,"view, conception",,,die Auffassungen,,C1,german_vocab_master.xlsx,noun | C1
auffällig,auffällig,,adj,目立つ,conspicuous,,,,,C1,german_vocab_master.xlsx,adj | C1
aufgabe,die Aufgabe,die,noun,課題,task,,,die Aufgaben,,A2,german_vocab_master.xlsx,Arbeit | noun | A2
aufgeregt,aufgeregt,,adj,興奮した,excited,,,,,A2,german_vocab_master.xlsx,Gefühle | adj | A2
aufgrund,aufgrund,,prep,～のために,due to,,,,+Gen,B2,german_vocab_master.xlsx,prep | B2
aufhören,aufhören,,verb,やめる,to stop,hörte auf,hat aufgehört,,separable,A1,german_vocab_master.xlsx,verb | A1
aufklären,aufklären,,verb,啓発する,to enlighten / clarify / educate,klärte auf,aufgeklärt,,,B1,german_vocab_master.xlsx,verb | B1
aufladen,aufladen,,verb,充電する,to charge / load,lud auf,aufgeladen,,,B1,german_vocab_master.xlsx,verb | B1
auflage,die Auflage,die,noun,発行部数／版,"edition, circulation",,,die Auflagen,,B2,german_vocab_master.xlsx,noun | B2
auflegen,auflegen,,verb,電話を切る,to hang up,legte auf,hat aufgelegt,,,A2,german_vocab_master.xlsx,verb | A2
aufmerksamkeit,die Aufmerksamkeit,die,noun,注意力／注目,attention / attentiveness,,,(uncountable),,B1,german_vocab_master.xlsx,noun | B1
aufregung,die Aufregung,die,noun,興奮／緊張,excitement / agitation,,,die Aufregungen,,B1,german_vocab_master.xlsx,noun | B1
aufräumen,aufräumen,,verb,片づける,to tidy up,räumte auf,hat aufgeräumt,,,A2,german_vocab_master.xlsx,verb | A2
aufsatz,der Aufsatz,der,noun,作文,essay,,,die Aufsätze,,A2,german_vocab_master.xlsx,Schule | noun | A2
aufschreiben,aufschreiben,,verb,書き留める,to write down,schrieb auf,hat aufgeschrieben,,irregular,A2,german_vocab_master.xlsx,verb | A2
aufstehen,aufstehen,,verb,起きる,to get up,stand auf,ist aufgestanden,,separable,A1,german_vocab_master.xlsx,verb | A1
auftauchen,auftauchen,,verb,現れる,to appear / emerge / show up,tauchte auf,aufgetaucht,,,B1,german_vocab_master.xlsx,verb | B1
auftrag,der Auftrag,der,noun,依頼／注文,"order, task",,,die Aufträge,,A2,german_vocab_master.xlsx,Arbeit | noun | A2
auftritt,der Auftritt,der,noun,登場／パフォーマンス,appearance / performance,,,die Auftritte,,B1,german_vocab_master.xlsx,noun | B1
aufzeigen,aufzeigen,,verb,明らかにする,to point out,zeigte auf,hat aufgezeigt,,,C1,german_vocab_master.xlsx,verb | C1
aufzug,der Aufzug,der,noun,エレベーター,elevator,,,die Aufzüge,,A2,german_vocab_master.xlsx,Wohnen | noun | A2
auge,das Auge,das,noun,目,eye,,,die Augen,,A1,german_vocab_master.xlsx,noun | A1
augenblick,der Augenblick,der,noun,瞬間,moment / instant,,,die Augenblicke,,B1,german_vocab_master.xlsx,noun | B1
augenscheinlich,augenscheinlich,,adj/adv,明らかな,evidently,,,,,C1,german_vocab_master.xlsx,adj/adv | C1
august,der August,der,noun,8月,August,,,,,A1,german_vocab_master.xlsx,Zeit | noun | A1
aus,aus,,prep,〜から,"out of, from",,,,+ Dat.,A1,german_vocab_master.xlsx,prep | A1
ausbilden,ausbilden,,verb,育成する,to train / educate / develop,bildete aus,ausgebildet,,,B1,german_vocab_master.xlsx,Verkehr | verb | B1
ausbildung,die Ausbildung,die,noun,職業訓練,vocational training,,,die Ausbildungen,,A2,german_vocab_master.xlsx,Arbeit | noun | A2
auseinandersetzung,die Auseinandersetzung,die,noun,対立／取り組み,"dispute, engagement",,,die Auseinandersetzungen,,C1,german_vocab_master.xlsx,noun | C1
ausführen,ausführen,,verb,詳しく述べる,"to elaborate, to execute",führte aus,hat ausgeführt,,,C1,german_vocab_master.xlsx,verb | C1
ausfüllen,ausfüllen,,verb,記入する,to fill out,füllte aus,hat ausgefüllt,,,A2,german_vocab_master.xlsx,verb | A2
ausgabestelle,die Ausgabestelle,die,noun,配布場所,distribution point / issue office,,,die Ausgabestellen,,B1,german_vocab_master.xlsx,Arbeit | noun | B1
ausgeben,ausgeben,,verb,支出する,to spend,gab aus,hat ausgegeben,,irregular,A2,german_vocab_master.xlsx,Einkaufen | verb | A2
ausgehen,ausgehen,,verb,前提とする／出かける,"to assume, to go out",ging aus,ist ausgegangen,,irregular,B2,german_vocab_master.xlsx,verb | B2
ausgehen von (+dat.),ausgehen von (+Dat.),,verb,〜を前提とする,to assume / start from,ging aus,ausgegangen,,,B1,german_vocab_master.xlsx,verb | B1
ausgeprägt,ausgeprägt,,adj,顕著な,pronounced,,,,,C1,german_vocab_master.xlsx,adj | C1
ausgerechnet,ausgerechnet,,adv,よりによって,of all things / precisely,,,,,B1,german_vocab_master.xlsx,adv | B1
ausgeschlossen,ausgeschlossen,,adj,あり得ない,impossible,,,,,B2,german_vocab_master.xlsx,adj | B2
auskunft,die Auskunft,die,noun,案内／情報,information desk,,,die Auskünfte,,A2,german_vocab_master.xlsx,Reisen | noun | A2
ausländer,der Ausländer,der,noun,外国人,foreigner,,,die Ausländer,,A2,german_vocab_master.xlsx,noun | A2
auslösen,auslösen,,verb,引き起こす,to trigger,löste aus,hat ausgelöst,,,C1,german_vocab_master.xlsx,verb | C1
auslöser,der Auslöser,der,noun,引き金,trigger,,,die Auslöser,,C1,german_vocab_master.xlsx,noun | C1
ausmaß,das Ausmaß,das,noun,規模,extent,,,die Ausmaße,,C1,german_vocab_master.xlsx,noun | C1
ausreichend,ausreichend,,adj,十分な,sufficient,,,,,B2,german_vocab_master.xlsx,adj | B2
aussagekräftig,aussagekräftig,,adj,説得力のある,meaningful / informative / strong,,,,,B1,german_vocab_master.xlsx,adj | B1
ausschalten,ausschalten,,verb,スイッチを切る,to switch off / turn off / eliminate,schaltete aus,ausgeschaltet,,,B1,german_vocab_master.xlsx,verb | B1
ausschlaggebend,ausschlaggebend,,adj,決定的な,decisive,,,,,C1,german_vocab_master.xlsx,adj | C1
ausschließlich,ausschließlich,,adv,もっぱら／〜だけ,exclusively / solely,,,,,B1,german_vocab_master.xlsx,adv | B1
aussicht,die Aussicht,die,noun,見通し／眺め,prospect / view / outlook,,,die Aussichten,,B1,german_vocab_master.xlsx,noun | B1
aussteigen,aussteigen,,verb,降りる,to get off,stieg aus,ist ausgestiegen,,irregular,A2,german_vocab_master.xlsx,Verkehr | verb | A2
ausstellung,die Ausstellung,die,noun,展示,exhibition,,,die Ausstellungen,,A2,german_vocab_master.xlsx,Freizeit | noun | A2
auswanderung,die Auswanderung,die,noun,移住,emigration,,,die Auswanderungen,,B1,german_vocab_master.xlsx,noun | B1
auswerten,auswerten,,verb,評価する／集計する,"to evaluate, to analyze",wertete aus,hat ausgewertet,,,B2,german_vocab_master.xlsx,verb | B2
auswertung,die Auswertung,die,noun,評価／集計,evaluation,,,die Auswertungen,,B2,german_vocab_master.xlsx,noun | B2
auswirken,auswirken,,verb,影響する,to affect,wirkte aus,hat ausgewirkt,,,B2,german_vocab_master.xlsx,verb | B2
auswirkung,die Auswirkung,die,noun,影響,"effect, impact",,,die Auswirkungen,,B2,german_vocab_master.xlsx,noun | B2
auszeichnen,auszeichnen,,verb,際立つ／表彰する,to distinguish / award,zeichnete aus,ausgezeichnet,,,B1,german_vocab_master.xlsx,verb | B1
ausziehen,ausziehen,,verb,脱ぐ,to take off,zog aus,hat ausgezogen,,separable,A1,german_vocab_master.xlsx,Kleidung | verb | A1
auto,das Auto,das,noun,車,car,,,die Autos,,A1,german_vocab_master.xlsx,Verkehr | noun | A1
automatisch,automatisch,,adj,自動の,automatic,,,,,B2,german_vocab_master.xlsx,adj | B2
automatisierung,die Automatisierung,die,noun,自動化,automation,,,,,B2,german_vocab_master.xlsx,Wissenschaft | noun | B2
außenpolitik,die Außenpolitik,die,noun,外交政策,foreign policy,,,,,C1,german_vocab_master.xlsx,Politik | noun | C1
außenseite,die Außenseite,die,noun,外側,outside / exterior,,,die Außenseiten,,B1,german_vocab_master.xlsx,noun | B1
außer,außer,,prep,～を除いて,except,,,,+Dat,A2,german_vocab_master.xlsx,prep | A2
außerdem,außerdem,,adv,さらに,moreover,,,,,B2,german_vocab_master.xlsx,adv | B2
außerhalb,außerhalb,,prep,～の外に,outside of,,,,+Gen,A2,german_vocab_master.xlsx,prep | A2
baby,das Baby,das,noun,赤ちゃん,baby,,,die Babys,,A1,german_vocab_master.xlsx,Familie | Farben | noun | A1
bachelorarbeit,die Bachelorarbeit,die,noun,学士論文,bachelor's thesis,,,die Bachelorarbeiten,,B2,german_vocab_master.xlsx,Bildung | noun | B2
backen,backen,,verb,焼く,to bake,backte,hat gebacken,,,A1,german_vocab_master.xlsx,Essen | verb | A1
bad,das Bad,das,noun,風呂／浴室,bathroom,,,die Bäder,,A1,german_vocab_master.xlsx,Wohnen | noun | A1
badewanne,die Badewanne,die,noun,浴槽,bathtub,,,die Badewannen,,B1,german_vocab_master.xlsx,noun | B1
bahn,die Bahn,die,noun,鉄道,railway,,,die Bahnen,,A1,german_vocab_master.xlsx,Verkehr | noun | A1
bahnhof,der Bahnhof,der,noun,駅,train station,,,die Bahnhöfe,,A1,german_vocab_master.xlsx,Verkehr | noun | A1
bahnsteig,der Bahnsteig,der,noun,ホーム,platform,,,die Bahnsteige,,A2,german_vocab_master.xlsx,Verkehr | noun | A2
bald,bald,,adv,もうすぐ,soon,,,,,A2,german_vocab_master.xlsx,adv | A2
balkon,der Balkon,der,noun,バルコニー,balcony,,,die Balkone,,A1,german_vocab_master.xlsx,Wohnen | noun | A1
ball,der Ball,der,noun,ボール,ball,,,die Bälle,,A1,german_vocab_master.xlsx,Freizeit | noun | A1
banane,die Banane,die,noun,バナナ,banana,,,die Bananen,,A1,german_vocab_master.xlsx,Essen | noun | A1
band,die Band,die,noun,バンド,band,,,die Bands,,A2,german_vocab_master.xlsx,Freizeit | noun | A2
bank,die Bank,die,noun,銀行,bank,,,die Banken,,A2,german_vocab_master.xlsx,Einkaufen | noun | A2
bart,der Bart,der,noun,ひげ,beard,,,die Bärte,,A2,german_vocab_master.xlsx,noun | A2
basieren auf (+dat.),basieren auf (+Dat.),,verb,〜に基づく,to be based on,basierte,basiert,,,B1,german_vocab_master.xlsx,verb | B1
bauch,der Bauch,der,noun,腹,"belly, stomach",,,die Bäuche,,A1,german_vocab_master.xlsx,noun | A1
bauen,bauen,,verb,建てる,to build / construct,baute,gebaut,,,B1,german_vocab_master.xlsx,verb | B1
bauer,der Bauer,der,noun,農家,farmer,,,die Bauern,n-decl,A2,german_vocab_master.xlsx,Wohnen | noun | A2
baum,der Baum,der,noun,木,tree,,,die Bäume,,A1,german_vocab_master.xlsx,noun | A1
beachtenswert,beachtenswert,,adj,注目に値する,noteworthy,,,,,C1,german_vocab_master.xlsx,adj | C1
beamte,der Beamte,der,noun,公務員,civil servant (m),,,die Beamten,adj-decl,A2,german_vocab_master.xlsx,noun | A2
beamtin,die Beamtin,die,noun,公務員（女）,civil servant (f),,,die Beamtinnen,,A2,german_vocab_master.xlsx,noun | A2
beantragen,beantragen,,verb,申請する,to apply for,beantragte,hat beantragt,,,B2,german_vocab_master.xlsx,Politik | verb | B2
bebauen,bebauen,,verb,建築する,to build on / develop / cultivate,bebaute,bebaut,,,B1,german_vocab_master.xlsx,verb | B1
becher,der Becher,der,noun,カップ,cup / mug / beaker,,,die Becher,,B1,german_vocab_master.xlsx,noun | B1
bedarf,der Bedarf,der,noun,需要／必要量,need / demand / requirement,,,(uncountable),,B1,german_vocab_master.xlsx,noun | B1
bedeuten,bedeuten,,verb,意味する,to mean,bedeutete,hat bedeutet,,,A2,german_vocab_master.xlsx,verb | A2
